"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"98","Switches. @ Mission District, San Francisco https://t.co/MrH1qNb037",FALSE,0,NA,2017-05-08 21:27:24,FALSE,NA,"861694043968942080",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mrjasonroy",0,FALSE,FALSE,"-122.42","37.76"
"102","Purity by @micahlebrun, acrylic on canvas, 30 x 24 in., for War Paint, showing through May 29.<e2><80><a6> https://t.co/A8VrEOnljl",FALSE,0,NA,2017-05-08 20:49:19,FALSE,NA,"861684460114370561",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LunaRienne",0,FALSE,FALSE,"-122.42148581","37.75532411"
"103","Lamplighter is back in the Thunderdome tomorrow night. @ EndGames<e2><80><a6> https://t.co/X7xd22wlir",FALSE,0,NA,2017-05-08 20:34:34,FALSE,NA,"861680748364832768",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","the_Plando",0,FALSE,FALSE,"-122.42202723","37.76579466"
"104","Rocking with my @PBS/@kqedcheckplease Pham today. I've been doing voiceover for the past 10<e2><80><a6> https://t.co/IyLxuGDg0C",FALSE,2,NA,2017-05-08 20:08:12,FALSE,NA,"861674114611912705",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lyricsborn",1,FALSE,FALSE,"-122.40974","37.76293"
"106","#AlmightyMondaze! NEW START TIME! 9PM! Every Monday @deliriumbarsf In #SFsMissionDistrict! With<e2><80><a6> https://t.co/n2cYi3Q37k",FALSE,0,NA,2017-05-08 19:58:00,FALSE,NA,"861671546464739328",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DJLOCSF",0,FALSE,FALSE,"-122.42290541","37.76478554"
"107","#mothersday #mom #giftsforher #freeshipping #aromatherapy #essentialoils #promo @ Heliotrope https://t.co/pk2vTWMXy0",FALSE,1,NA,2017-05-08 19:55:53,FALSE,NA,"861671013297401860",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","HeliotropeSF",0,FALSE,FALSE,"-122.42184","37.76633"
"108","Starting the week off right - by restocking the cellar.
 CAMERA : hangrykorean @ Pizzeria Delfina https://t.co/I802FNDaqw",FALSE,0,NA,2017-05-08 19:44:07,FALSE,NA,"861668051904679938",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","pizzeriadelfina",0,FALSE,FALSE,"-122.42425856","37.76158244"
"110","Just posted a photo @ Mission District, San Francisco https://t.co/5lZe6arO45",FALSE,0,NA,2017-05-08 19:21:48,FALSE,NA,"861662435249451008",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","cobbyco",0,FALSE,FALSE,"-122.42","37.76"
"112","Waking up in the morning to discover half of your face is paralyzed is nothing short of<e2><80><a6> https://t.co/T32J3BBN6A",FALSE,0,NA,2017-05-08 18:48:46,FALSE,NA,"861654123976036353",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LionsHeartSF",0,FALSE,FALSE,"-122.4141769","37.7622414"
"113","'Tis a thing of beauty.  .
.
.
.
.
#birthdaytreat #yum #tartine #nowrongwaysf #alwaysSF #SFguide<e2><80><a6> https://t.co/a19pdrYdIs",FALSE,0,NA,2017-05-08 18:11:36,FALSE,NA,"861644770099085312",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","meaghanclark",0,FALSE,FALSE,"-122.4118648","37.7618469"
"116","Yesterday in the Mission District low rider car show. 
#mooncricketfilms #sanfrancisco<e2><80><a6> https://t.co/ilKogSMwJf",FALSE,0,NA,2017-05-08 17:43:53,FALSE,NA,"861637795533565952",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Mooncricket",0,FALSE,FALSE,"-122.42","37.76"
"117","How we do it! Taka sharpening a Yoshikane SKD Core santoku. 
We have a number of different<e2><80><a6> https://t.co/kETqPovRN0",FALSE,0,NA,2017-05-08 17:39:31,FALSE,NA,"861636696164708353",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Bernalcutlery",0,FALSE,FALSE,"-122.42361","37.76176"
"119","It's Monday Night's Happy Hour Cocktail!!!! Happy Hour is Mondays-Wednesdays 5:30-7pm. $5 Help<e2><80><a6> https://t.co/HNMhrVAF49",FALSE,0,NA,2017-05-08 16:37:48,FALSE,NA,"861621165378424832",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","babujiSF",0,FALSE,FALSE,"-122.42239","37.76849"
"120","#skyline #boheme #graffit #painting #streetstyle #art #artist #sunny @ Mission District, San<e2><80><a6> https://t.co/NXS4ey3EeU",FALSE,0,NA,2017-05-08 16:17:48,FALSE,NA,"861616129990684672",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mystarpower",0,FALSE,FALSE,"-122.42","37.76"
"121","Now she want a photo? You already know tho  PALMTREE   PALMTREE  #dolo
<e2><80><a2>
<e2><80><a2>
<e2><80><a2>
#onlyinsf #mysf #sanfrancisco<e2><80><a6> https://t.co/fNFFPyWNKs",FALSE,1,NA,2017-05-08 16:16:04,FALSE,NA,"861615695595024385",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","shengos",0,FALSE,FALSE,"-122.4275","37.75833333"
"122","#honey #bear -#squirt #golden #mural #tasty #food -#bees #painting @ Mission District, San<e2><80><a6> https://t.co/yrgudqKw9h",FALSE,0,NA,2017-05-08 16:15:12,FALSE,NA,"861615479407947776",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mystarpower",0,FALSE,FALSE,"-122.42","37.76"
"124","Just had the sweetest interaction in Glen Park. I was lost in Beck's amazing album, Morning<e2><80><a6> https://t.co/Ir395nOmQn",FALSE,0,NA,2017-05-08 15:36:53,FALSE,NA,"861605836552122368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hermesalchemist",0,FALSE,FALSE,"-122.41197","37.76582"
"125","My Crawfish King  CROWN  #mcm #5thannualcrawfishboil #sanfrancisco @ Mission District, San Francisco https://t.co/UZ831plY5Y",FALSE,0,NA,2017-05-08 15:21:31,FALSE,NA,"861601965872041984",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BananaMomberg",0,FALSE,FALSE,"-122.42","37.76"
"126","#cincodemayo celebrations in #sf #missiondistrict. #Baile en la calle event presented by<e2><80><a6> https://t.co/K37bJgIM1Q",FALSE,0,NA,2017-05-08 15:12:02,FALSE,NA,"861599582005870592",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","gesualdobush",0,FALSE,FALSE,"-122.42","37.76"
"130","#japanese #filmnoir tonight at roxie_theater closes #midcenturypriductiod series<e2><80><a6> https://t.co/iTRAJF1JNM",FALSE,2,NA,2017-05-08 14:53:20,FALSE,NA,"861594874419793920",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","IndigSF",0,FALSE,FALSE,"-122.42243","37.76474"
"131","@sfmanufactory bakery in full swing making that fabulous bread #sanfrancisco #americanfoodtour @<e2><80><a6> https://t.co/jpbTYQrH8f",FALSE,0,"sfmanufactory",2017-05-08 14:39:37,FALSE,NA,"861591423103250432","2985980724","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BritishLarder",0,FALSE,FALSE,"-122.4118648","37.7618469"
"132","@sfmanufactory incredible seasonal roasted delta asparagus, wild ramps, butter rye crumbs and<e2><80><a6> https://t.co/Ft3eBXDeYV",FALSE,0,"sfmanufactory",2017-05-08 14:16:27,FALSE,NA,"861585591393300480","2985980724","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BritishLarder",0,FALSE,FALSE,"-122.4118648","37.7618469"
"134","Hello from San Francisco! @ Basil Racuk https://t.co/Ab9NsJr9RP",FALSE,0,NA,2017-05-08 13:48:26,FALSE,NA,"861578544249536512",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","basilracuk",0,FALSE,FALSE,"-122.42062","37.76196"
"137","""Ba3ajo"" kind of means ""he broke it"". I'm curious to know whether non-lebanese speakers find<e2><80><a6> https://t.co/JsS97jLEga",FALSE,0,NA,2017-05-08 13:08:34,FALSE,NA,"861568510547329025",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","madihg",0,FALSE,FALSE,"-122.42139473","37.76053837"
"138","""In this space we are equals, we are all students and teachers, we collaborate, we share with<e2><80><a6> https://t.co/3NpBWEFYVg",FALSE,0,NA,2017-05-08 12:58:28,FALSE,NA,"861565965984817152",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","clever_hannah",0,FALSE,FALSE,"-122.41477842","37.75252729"
"139","Happy, sunny #memories  SUNWITHFACE #california #tb @ Mission Dolores Park https://t.co/xpwS43mkJl",FALSE,0,NA,2017-05-08 11:46:36,FALSE,NA,"861547883853643776",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LaMavy",0,FALSE,FALSE,"-122.4275","37.75833333"
"140","Nil nek kamu carinya temen yang hitz gaul masa kini dll aku mundur pertama.
Nek kamu nyari yang<e2><80><a6> https://t.co/MZ9m3F6GXh",FALSE,0,NA,2017-05-08 11:43:38,FALSE,NA,"861547135535161346",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","dekmilss",0,FALSE,FALSE,"-122.42","37.76"
"141","Single exposure portraitures. SF Portraits. https://t.co/yaBBAteT0h  #modelingfashion #fashion<e2><80><a6> https://t.co/XUrxcaBTCN",FALSE,0,NA,2017-05-08 08:39:19,FALSE,NA,"861500751247532032",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","david_perea7",0,FALSE,FALSE,"-122.42","37.76"
"144","Today in the Mission District low rider car show. 

#mooncricketfilms #sanfrancisco<e2><80><a6> https://t.co/UkLhG9uj3W",FALSE,0,NA,2017-05-08 05:43:18,FALSE,NA,"861456454062006272",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Mooncricket",0,FALSE,FALSE,"-122.42","37.76"
