"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"817","So much fun salsa dancing on a Wednesday night  DANCER  COLONE  MANDANCING  COLONE  @ Bissap Baobab Village https://t.co/zAx23jJYrY",FALSE,0,NA,2017-05-04 17:18:56,FALSE,NA,"860181962937565184",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sumaya",0,FALSE,FALSE,"-122.41871","37.76039"
"818","Happiness in a cup  HOTBEVERAGE  @ Four Barrel Coffee https://t.co/52nuyN6cf5",FALSE,0,NA,2017-05-04 17:12:16,FALSE,NA,"860180286478397441",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sumaya",0,FALSE,FALSE,"-122.4219914","37.76700975"
"819","ummmm I can relate to this a bit too much  SMILINGFACEWITHOPENMOUTHANDCOLDSWEAT  https://t.co/S5DsdUJ6Wr",FALSE,1,NA,2017-05-04 17:04:21,FALSE,NA,"860178295597309952",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","AndrianaArt",0,FALSE,FALSE,NA,NA
"820","Doing my part in getting the Star Wars theme suck in everyone<e2><80><99>s head today via @SlackHQ   GRINNINGFACEWITHSMILINGEYES  #Maythe4thBeWithYou<e2><80><a6> https://t.co/X6zOjlY80h",FALSE,0,NA,2017-05-04 16:58:58,TRUE,NA,"860176938433826817",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","AndrianaArt",0,FALSE,FALSE,NA,NA
"821","#mushrooms #grass #green #weed #mural #painting #art #artwork #artist #eyes @ Mission District,<e2><80><a6> https://t.co/eTE04PmWno",FALSE,0,NA,2017-05-04 16:24:01,FALSE,NA,"860168146161938434",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mystarpower",0,FALSE,FALSE,"-122.42","37.76"
"822","#sunny #shine #sunburst #Mexican #plants #grow #green #weed #reflection #walk @ Mission<e2><80><a6> https://t.co/a9ktdOZkct",FALSE,0,NA,2017-05-04 16:22:26,FALSE,NA,"860167746230857728",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mystarpower",0,FALSE,FALSE,"-122.42","37.76"
"823","""Where were you when #FullSalute shut down Dolores Park?""<e2><80><a6> https://t.co/kpCi6Vp4h2",FALSE,0,NA,2017-05-04 16:19:47,FALSE,NA,"860167078577307649",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iAMgoldenstate",0,FALSE,FALSE,"-122.4275","37.75833333"
"824","#kitty #puppy #skeleton #art #artist #artwork #cat #dog #sidewalk #graffiti #streetart @ Mission<e2><80><a6> https://t.co/HxGJOx0AOQ",FALSE,0,NA,2017-05-04 16:18:45,FALSE,NA,"860166818547335168",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mystarpower",0,FALSE,FALSE,"-122.42","37.76"
"825","https://t.co/TpeW1t6paw",FALSE,0,NA,2017-05-04 16:14:58,FALSE,NA,"860165868755353602",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","numberless",0,FALSE,FALSE,NA,NA
"826","My improv 201 class team: Griffin's Sexy Cookies. It was an honor to go out there and 'prov with<e2><80><a6> https://t.co/Ge0m3MIJ35",FALSE,0,NA,2017-05-04 16:02:11,FALSE,NA,"860162651804053505",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SouthpawFishel",0,FALSE,FALSE,"-122.42206938","37.76571567"
"827","A puppy that is so determined to get anything he wants in life ""just give me all your treats!"" -<e2><80><a6> https://t.co/R5Oq6FqDj2",FALSE,0,NA,2017-05-04 16:01:35,FALSE,NA,"860162497692794880",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BePawesome",0,FALSE,FALSE,"-122.41206494","37.76649852"
"828","Phoebe, viewed through the jeweler's loupe, the queen of the opalescent diamond rings, handmade<e2><80><a6> https://t.co/Jm8hOzF0yh",FALSE,0,NA,2017-05-04 15:57:23,FALSE,NA,"860161440375742465",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","fiatluxsf",0,FALSE,FALSE,"-122.42331505","37.76482883"
